GeneSymbol,log2FoldChange,padj,DE,WT1,WT2,WT3,WT4,WT5,KO1,KO2,KO3,KO4,KO5,KO6,KO7,KO8
Camkk2,0.17703494266995284,0.15296852879021575,NO,10.320117643481506,10.250951528053372,10.431420532085154,10.086334741774586,10.288156074458332,10.428012835783472,10.397336702631707,10.475154303370468,10.382772131070189,10.448585467224955,10.64513943813579,10.334895665831189,10.521454633443737
1600020E01Rik,-0.5166140073648806,0.015158899459962499,DOWN,8.42737428632787,8.19836045394602,8.280576146983815,7.894684949363794,8.609933638767737,7.519104349743662,7.5230091352315025,7.532935404275214,7.393702607927609,8.011874810925146,7.868399970329826,8.24188741783331,7.979112905270078
Afg1l,-0.008567849964550171,0.963987461060734,NO,9.806934668590348,9.780044839704994,9.96837411917039,9.931310878054617,9.99973535158809,9.821937421441104,9.654808804886198,9.802770905396667,9.973762328735473,9.78350752406491,10.039194436902404,10.001076400500212,10.010702555107926
Ankrd52,0.13095097574584397,0.12413982196041458,NO,12.616144803177786,12.269835629314441,12.60722913888534,12.518001271068616,12.477140865840013,12.661921846456625,12.659016916500397,12.544142138859542,12.709960705782361,12.785789438038545,12.590781767452816,12.593540595957508,12.50743575496858
Fhl3,0.3077906643758774,0.0011471750926778878,UP,10.925028187762981,10.950244245023777,11.411552175046213,11.069046437173387,11.204535379519802,11.509900880274484,11.209279777134666,11.412489560108224,11.311038193445691,11.522142660819966,11.466480991960639,11.492187645290029,11.497444874101339
Urod,-0.046384567459948844,0.7225994021175223,NO,10.623496491678521,10.42828505177877,10.496698145907553,10.680321787694972,10.495150127897785,10.539449599116331,10.468517192060041,10.556721752656113,10.63536452964766,10.359027081207874,10.357605092914973,10.559997972136713,10.512096221257881
Gm49521,0.2273871662103075,0.7618331435492062,NO,6.608835902979753,4.812749099134919,6.185830714225569,6.175228177457201,5.857153795652753,5.767765628041905,6.439299049881424,6.638244539606373,2.7047567976272178,6.968744202905216,5.936340027625246,6.666424806323625,6.344359215844344
Cpa4,-0.12050334076319319,0.7735455272935418,NO,13.344588137350364,14.336392565993416,13.553277460559,14.06586073720777,14.124555289841217,13.415437349795656,13.497714514753591,13.741167102498238,13.664228085020307,13.710221536331375,13.820166039417582,14.177853088260537,14.244411056409405
Nfyc,0.05156309977325868,0.6793012206281673,NO,10.972938415729484,10.759509042789789,10.876525555505184,11.037570300010385,10.917361292527438,10.996419554893919,10.928627611172457,11.016054154953286,11.033990904781813,10.744617538732587,11.012349213176147,10.868520133590232,11.11057528065227
Mrpl13,0.024464091992586527,0.8793661202581204,NO,11.330102936565941,11.074396119173176,11.162100142248688,11.20591219384478,11.11304878504102,11.286926295769703,11.441447743614985,11.241768841451782,11.104915719465403,11.240330399583671,11.192062619284172,11.13210661917447,10.946576011326584
Slc27a1,-0.24941847832322278,0.06039491705079659,NO,9.962849931736576,9.856274455135098,10.093890070586955,9.892739507349674,9.662110853168869,9.619140790560747,9.600145273436361,9.512454251889729,9.892315855886515,9.472120407196597,9.729701365517414,9.634858381377683,9.716906040105433
Thbd,-0.4304676178667904,2.968513734496109e-4,DOWN,11.169023923750636,11.016678322141397,11.200180498690521,11.301275889641648,11.230420731832785,10.83161835057414,10.451581069746647,10.59019083855952,10.767183062230899,10.740593385939993,10.51377802138652,10.944115158329955,11.09464098639101
Rassf10,0.6174652258696045,0.004763989693925989,UP,9.54964897246365,8.433686249515508,8.619351720371554,8.45662316715936,8.776789127722685,9.70523004224082,9.229852308682814,9.749194125154098,9.504654774445285,9.544076378314873,9.603960038674181,9.259577177472956,8.7401553531466991
Igfbp3,0.31625253291953836,0.2897724469208365,NO,11.472611306897305,10.916653037856948,10.379262810498526,10.72857286742769,10.288156074458332,11.463118994805523,11.03690994323703,11.309964007128794,11.595017574699856,11.265194874246959,10.771393106618747,10.821185676822104,10.51000830429096
Gm13841,0.33994372613963275,0.3319465143146142,NO,7.220961488987224,6.829803005057403,6.114696864614669,6.576639885993336,6.147993353521698,7.116240955664619,7.145229147209229,7.525670146035954,6.648905889763064,6.649692714574936,6.95229810377743,6.795779284737872,6.764324026864777
Gm37084,0.04472477237274206,0.9592778945678369,NO,5.742043112252884,5.113119522276158,6.6303155207904245,6.815320722057843,7.041818955547487,4.215976870665905,6.705286846876113,6.71690291395103,7.135083164569559,6.5936838198759276,6.213925094483871,6.348043104120956,6.503941421879299
Rbm14,0.17365257195712758,0.09974588625826651,NO,11.022564423527525,10.77565956277608,10.756064332124117,10.771723939289192,10.615519692214571,11.167932388576425,10.969355277759336,10.989894851778525,10.988804295278701,10.951652731445638,10.841789553512482,10.816958478023825,10.989918356259226
Uckl1,-0.10637966883359996,0.432240842538099,NO,10.58877429705561,10.64793064585734,10.689546252493669,10.486723595682056,10.64731208635751,10.767576722587918,10.587635078006373,10.421361858762786,10.330723345827307,10.445622132972396,10.379516345446293,10.57909422070109,10.493195286796716
Sod1,0.3412641219509701,0.06482814494231381,NO,10.820416589406983,10.0338811029692,10.401847402169386,10.230435462532931,10.122104656083525,10.971368194194843,10.878027972402002,10.916105261786447,10.549923683488196,10.707164960971427,10.695330773823216,10.43868675503131,10.215489272331
Lsmem2,-0.03644210239017603,0.9744084074989064,NO,5.637199919387493,3.5658353375054825,6.728880001218688,6.086870135605929,4.678031336793971,6.171287447451907,6.216813804512189,5.8282759367261905,0,5.428146439679455,5.936340027625246,5.4022226951453485,5.884554897540373
Ifi203,-0.7160853815885463,0.3909722242949632,NO,5.119511278616212,2.90788529531254,3.1506066868589158,2.4041078285824224,5.115290188754925,3.669317223948263,2.848197316167337,3.228464517157073,5.157604482246502,2.751662001570852,3.015559558196952,3.0722619156961253,0
