GeneSymbol,log2FoldChange,padj,DE
0610009B22Rik,-0.07289342501536403,0.7072257297643986,NO
0610009E02Rik,-0.15504173766993304,0.8401134781376322,NO
0610009L18Rik,0.2575042904695605,0.6972351900032491,NO
0610010K14Rik,-1.1900000081112634,0.025093791485849917,DOWN
0610012G03Rik,0.11753945268268778,0.4578955640749369,NO
0610030E20Rik,-0.11226196667329325,0.146304751552291,NO
0610038B21Rik,0.4382048136528291,0.1804036560982679,NO
0610039K10Rik,0.3200904691658791,0.5249507007355932,NO
0610040B10Rik,-0.46319447779544043,0.3222934324788483,NO
0610040F04Rik,-0.08359053303741414,0.8729250665018554,NO
1110002E22Rik,0.5823810842182621,0.07813429387051976,NO
1110002L01Rik,-0.13285097140711866,0.1542754568681317,NO
1110004F10Rik,-0.01913560245670069,0.859595088988391,NO
1110019D14Rik,-0.26342359566411044,0.49273729169375924,NO
1110032A03Rik,0.02535349807286689,0.9177755930091134,NO
1110035H17Rik,0.21280095477287161,0.8144318966283602,NO
1110038B12Rik,-0.2863708067542107,0.02638461987626453,DOWN
1110038F14Rik,-0.10203717713890648,0.47348105994849876,NO
1110046J04Rik,0.2067733918443523,0.6363346640332898,NO
1110059E24Rik,-0.009325487449510107,0.9700663610820576,NO
1110059G10Rik,-0.26687290705479344,0.06981152441098237,NO
1110065P20Rik,0.08818701038979963,0.738885214668824,NO
1190007I07Rik,-0.21146022970513112,0.4748406114332308,NO
1200007C13Rik,-0.07121709291908492,0.9281484283899135,NO
1300002E11Rik,-0.14952823187972533,0.6492702823487283,NO
1500002C15Rik,0.30485018481886367,0.5175779233327467,NO
1500002F19Rik,0.3407983619405853,0.6275298568737,NO
1500004A13Rik,0.12659863551641481,0.8421466824715267,NO
1500011B03Rik,0.11365257828830369,0.5610219861998081,NO
1500015A07Rik,-0.025140155126032,0.9341604320019472,NO
1500015L24Rik,1.0350913747552153,0.12492080269017057,NO
1600012H06Rik,0.0690725088855089,0.7855104178158123,NO
1600014C10Rik,0.0156138088309743,0.9298346334836335,NO
1600020E01Rik,-0.516569376783454,0.014320216137772308,DOWN
1700001C19Rik,0.4321579987255731,0.44365668751234144,NO
1700001G11Rik,-0.19661472146132353,0.8291511980515766,NO
1700001L05Rik,0.05537899364792094,0.9307161255054252,NO
1700001O22Rik,0.2797707374159697,0.7726525667880408,NO
1700003M07Rik,-0.3577588189079199,0.6141720027270484,NO
1700007J10Rik,0.28555192003489516,0.3931705916775504,NO
1700007L15Rik,-0.17633212412621424,0.7072257297643986,NO
1700008J07Rik,0.06094895559067495,0.8989154118384706,NO
1700009N14Rik,1.1093878805673962,0.011266788439101583,UP
1700016H13Rik,0.15136736838231674,0.8646368888140601,NO
1700017B05Rik,-0.2058243024199101,0.20977464753932631,NO
1700018A23Rik,0.11834369904239388,0.8823363610994974,NO
1700018M17Rik,-0.18194569774616995,0.8211042364662569,NO
1700020L24Rik,-0.1657011084959989,0.8896430675752435,NO
1700021J08Rik,0.06242550313854661,0.9525310441625099,NO
1700022I11Rik,0.2393013274959592,0.7653031223800825,NO
1700022N22Rik,0.1807787656938129,0.70454785455026,NO
1700023B13Rik,0.15206554268447361,0.8566599687709952,NO
1700025G04Rik,0.05892454839703275,0.7789620263685683,NO
1700028E10Rik,-0.3057948527766914,0.6147631469700825,NO
1700029I15Rik,-0.07100395838964282,0.9400862293385598,NO
1700029J07Rik,-0.2723548583900125,0.4643022627607394,NO
1700030C10Rik,0.04958799254971057,0.9480044266986394,NO
1700030C12Rik,0.4592291419437273,0.5593917393339454,NO
1700030J22Rik,0.39986156659277045,0.5250476408351499,NO
1700030K09Rik,-0.12774408430355888,0.5789463920396661,NO
1700034H15Rik,-0.31827385290147053,0.5237216542554123,NO
1700034P13Rik,0.2787957816450194,0.6543818554222934,NO
1700037C18Rik,-0.12536680550786178,0.7808118040253021,NO
1700037H04Rik,0.07135328749571927,0.6141720027270484,NO
1700040L08Rik,0.19963140034134358,0.8022130413671485,NO
1700051O22Rik,0.2079872539353649,0.8292952857409462,NO
1700052K11Rik,-0.017468883698014116,0.9592587153009178,NO
1700055D18Rik,-0.151643607171497,0.812592576246661,NO
1700056E22Rik,7.396371906248424e-4,0.9989908436789691,NO
1700060J05Rik,-0.5376904830433022,0.4289740264771673,NO
1700061I17Rik,-0.5043145917090582,0.3486052559316665,NO
1700066M21Rik,-0.216986639769179,0.35002164264106256,NO
1700081N11Rik,0.7938200657441036,0.06163846444635295,NO
1700084C06Rik,0.1947045554126352,0.7466713048175444,NO
1700084E18Rik,0.5507337080815524,0.29042957010770815,NO
1700086O06Rik,-0.10423571767931704,0.8268252604974052,NO
1700088E04Rik,0.248976612214036,0.689475485412689,NO
1700094J05Rik,0.7669175639703798,0.2791194511111117,NO
1700096K18Rik,0.12691924551774028,0.88214830378856,NO
1700099I09Rik,3.6136597452623515e-5,1,NO
1700101I11Rik,0.2872922151472843,0.5938800896529495,NO
1700102P08Rik,-0.7822733277393892,0.24661991458888033,NO
1700105P06Rik,0.108148483286232,0.8707967761911172,NO
1700109H08Rik,-0.25970826335983155,0.6352213521470054,NO
1700113A16Rik,-0.12456682030608277,0.8187891163960379,NO
1700120B22Rik,-0.048126097658698463,0.9696398864870486,NO
1700120C14Rik,0.6058439363165004,0.09177025799614713,NO
1700123M08Rik,0.08270765964077369,0.9145720647477439,NO
1700123O20Rik,0.06655553586416066,0.6316741726219135,NO
1810008B01Rik,0.6670757879806072,0.14280760262361714,NO
1810012K08Rik,-0.5494506116541243,0.23846167684449524,NO
1810013L24Rik,-0.019206992490758884,0.866788061468593,NO
1810014B01Rik,0.09490437910372493,0.9222629189775563,NO
1810019D21Rik,-0.18484085368694692,0.39365497084714257,NO
1810021B22Rik,-0.27420724793876866,0.6486941037899441,NO
1810024B03Rik,-1.0360867204084707,0.1096431491745718,NO
1810030O07Rik,-0.00389932401785893,0.9803558848616822,NO
1810034E14Rik,0.5312049948657117,0.24136215751483275,NO
1810037I17Rik,0.055277887368540855,0.7471439405841558,NO
1810044D09Rik,-0.386469399642075,0.5127961961855949,NO
1810049J17Rik,0.3319515966084111,0.37127539800320203,NO
1810055G02Rik,0.1831514138047199,0.1815696927515453,NO
1810058I24Rik,0.0845044666406532,0.430768343279013,NO
1810058N15Rik,-0.2507691919278559,0.6393795170340367,NO
1810062O18Rik,0.055477940413120874,0.915947419218017,NO
2010001A14Rik,-2.1713806102331332e-4,0.9996809555142995,NO
2010008C14Rik,-0.13864397344284143,0.7424536988418028,NO
2010204K13Rik,0.00870208802561197,0.9869676073111482,NO
2010315B03Rik,-0.09478594650911795,0.6543818554222934,NO
2010320M18Rik,-0.06295563966802632,0.7861239724481999,NO
2200002D01Rik,0.5407824238500187,0.01688252834924942,UP
2210016F16Rik,0.1116909041771414,0.27179380221422356,NO
2210016L21Rik,-0.1056041922047523,0.36951814877608896,NO
2210017I01Rik,-0.4411908258907372,0.5202118165095756,NO
2210408F21Rik,0.14942577860320397,0.8007176522968427,NO
2210408I21Rik,-0.02671400230404868,0.9674202421032831,NO
2210411M09Rik,0.12552520172422682,0.889772426337873,NO
2300009A05Rik,-0.23756622849117048,0.44996174921524207,NO
2310001H17Rik,-0.14826674083509014,0.5894247652880837,NO
2310002F09Rik,-0.2031364065988928,0.4508581384851171,NO
2310008N11Rik,-0.30632205088124964,0.6775609967233118,NO
2310009B15Rik,0.22551283415828144,0.4878269365701446,NO
2310010J17Rik,-0.05776563503481036,0.9473587686159131,NO
